customer_id,customer_name,segment,region,revenue,orders,units,avg_order_value
C00001,Customer 0001,SMB,East,3074410.5121635944,18,24,170800.58400908858
C00002,Customer 0002,Mid-Market,South,5291193.647323358,23,50,230051.89770971122
C00003,Customer 0003,Mid-Market,Central,2845395.3508869833,19,35,149757.65004668332
C00004,Customer 0004,SMB,East,1689643.7924164126,14,14,120688.84231545804
C00005,Customer 0005,SMB,North,2455304.0736673367,19,25,129226.53019301772
C00006,Customer 0006,Enterprise,Central,4742356.557091102,25,61,189694.2622836441
C00007,Customer 0007,Enterprise,East,3001575.3895546696,14,43,214398.24211104782
C00008,Customer 0008,Enterprise,East,6109764.7870633565,22,55,277716.5812301526
C00009,Customer 0009,Mid-Market,North,3769373.6511626597,27,40,139606.43152454295
C00010,Customer 0010,Enterprise,South,8194711.136055057,32,85,256084.72300172053
C00011,Customer 0011,SMB,South,3205072.003761214,13,21,246544.00028932418
C00012,Customer 0012,SMB,Central,3446197.8990271958,22,30,156645.35904669072
C00013,Customer 0013,Mid-Market,West,4706991.186141532,30,49,156899.70620471772
C00014,Customer 0014,Mid-Market,Central,5453407.61459443,29,58,188048.53843429068
C00015,Customer 0015,Mid-Market,South,4044897.0757737095,21,34,192614.14646541473
C00016,Customer 0016,Enterprise,South,7774746.452711037,27,73,287953.572322631
C00017,Customer 0017,SMB,West,2955671.7768059815,27,39,109469.32506688821
C00018,Customer 0018,Enterprise,North,5152551.426622859,22,49,234206.88302831177
C00019,Customer 0019,Enterprise,Central,7024610.0850441605,28,75,250878.93160872
C00020,Customer 0020,Mid-Market,West,2689560.1214649226,14,26,192111.43724749447
C00021,Customer 0021,Enterprise,East,2516278.926349063,15,26,167751.92842327087
C00022,Customer 0022,Mid-Market,South,5998814.175058539,28,51,214243.3633949478
C00023,Customer 0023,SMB,Central,1493875.052589337,14,20,106705.36089923837
C00024,Customer 0024,SMB,Central,1679074.2356821827,18,24,93281.90198234348
C00025,Customer 0025,Mid-Market,East,2634965.363144627,19,29,138682.38753392771
C00026,Customer 0026,SMB,North,3282315.25326262,23,35,142709.35883750522
C00027,Customer 0027,Mid-Market,West,3068606.229076086,14,24,219186.15921972043
C00028,Customer 0028,SMB,North,2000526.435643262,15,21,133368.42904288412
C00029,Customer 0029,Mid-Market,North,3396179.4119876963,21,35,161722.82914227125
C00030,Customer 0030,Mid-Market,East,2212252.5806409214,17,30,130132.50474358362
C00031,Customer 0031,SMB,East,1796065.2079059714,15,22,119737.68052706476
C00032,Customer 0032,Mid-Market,Central,4149634.1689495584,23,53,180418.87691085038
C00033,Customer 0033,Enterprise,South,6318531.38179014,21,55,300882.4467519114
C00034,Customer 0034,Mid-Market,South,2650329.6537405984,17,34,155901.74433768226
C00035,Customer 0035,Mid-Market,West,2177334.474203137,17,33,128078.49848253748
C00036,Customer 0036,Mid-Market,North,2519581.043545909,19,34,132609.52860767944
C00037,Customer 0037,Mid-Market,North,4582303.145890832,21,44,218204.91170908723
C00038,Customer 0038,SMB,West,3446525.9386330633,22,37,156660.2699378665
C00039,Customer 0039,Mid-Market,South,5218139.306187509,28,52,186362.11807812532
C00040,Customer 0040,Mid-Market,East,1537520.7859856193,12,20,128126.73216546827
C00041,Customer 0041,Mid-Market,South,7162385.03224742,27,65,265273.51971286745
C00042,Customer 0042,SMB,Central,2611582.275879625,31,41,84244.58954450404
C00043,Customer 0043,Enterprise,East,2065119.6925811814,16,36,129069.98078632384
C00044,Customer 0044,Enterprise,South,5244860.057256882,23,53,228037.39379377748
C00045,Customer 0045,Mid-Market,Central,3643322.252851305,22,49,165605.5569477866
C00046,Customer 0046,Mid-Market,East,3252154.659405162,23,40,141398.02866978967
C00047,Customer 0047,SMB,South,3877628.473472848,26,46,149139.55667203263
C00048,Customer 0048,Mid-Market,South,6706885.336503555,27,58,248403.16061124278
C00049,Customer 0049,SMB,East,2497789.4235558067,21,29,118942.35350265747
C00050,Customer 0050,Mid-Market,North,4756764.838935905,22,43,216216.5835879957
C00051,Customer 0051,Enterprise,North,7769341.791760545,22,78,353151.8996254793
C00052,Customer 0052,Enterprise,North,5928404.234816418,25,74,237136.1693926567
C00053,Customer 0053,Enterprise,East,2156671.527478404,16,43,134791.97046740024
C00054,Customer 0054,Mid-Market,East,4219509.305103313,20,41,210975.46525516565
C00055,Customer 0055,Mid-Market,East,3370430.7999488353,17,32,198260.63529110796
C00056,Customer 0056,Mid-Market,East,4818149.991631883,23,44,209484.78224486447
C00057,Customer 0057,Mid-Market,South,3230411.677236099,26,40,124246.60297061919
C00058,Customer 0058,Mid-Market,West,3427488.6895768633,21,42,163213.74712270778
C00059,Customer 0059,Mid-Market,North,3255617.981523277,15,38,217041.19876821846
C00060,Customer 0060,Mid-Market,North,4153659.292198547,23,46,180593.88226950206
C00061,Customer 0061,Mid-Market,East,2912981.885764605,18,33,161832.3269869225
C00062,Customer 0062,Mid-Market,West,2728193.3083871463,14,26,194870.95059908187
C00063,Customer 0063,Mid-Market,West,4140302.5845920765,23,48,180013.15585182942
C00064,Customer 0064,Mid-Market,East,2675504.1163560958,19,36,140816.00612400504
C00065,Customer 0065,Mid-Market,West,2677357.3973086006,23,33,116406.8433612435
C00066,Customer 0066,Mid-Market,West,4797555.426468565,27,58,177687.23801735428
C00067,Customer 0067,Mid-Market,West,4656855.320789326,24,44,194035.63836622192
C00068,Customer 0068,Mid-Market,South,1889786.769757459,16,29,118111.67310984118
C00069,Customer 0069,Enterprise,North,7082866.317935563,26,80,272417.93530521396
C00070,Customer 0070,Mid-Market,South,3955095.67191429,23,41,171960.68138757785
C00071,Customer 0071,SMB,North,2972842.2230314794,21,28,141563.9153824514
C00072,Customer 0072,Enterprise,South,4367841.234957463,14,50,311988.65963981877
C00073,Customer 0073,SMB,Central,2164811.8025295497,22,26,98400.53647861589
C00074,Customer 0074,Enterprise,South,6409692.256948946,22,59,291349.6480431339
C00075,Customer 0075,Mid-Market,North,3754455.7514301133,22,41,170657.0796104597
C00076,Customer 0076,Mid-Market,South,6720957.53089884,26,56,258498.3665730323
C00077,Customer 0077,Enterprise,South,7002338.217470978,31,75,225881.8779829348
C00078,Customer 0078,SMB,East,2308333.6853156947,22,35,104924.25842344067
C00079,Customer 0079,Mid-Market,West,4595411.664103146,28,55,164121.84514654093
C00080,Customer 0080,SMB,East,2075897.003054034,11,22,188717.90936854854
C00081,Customer 0081,Mid-Market,East,2460632.124590279,15,31,164042.14163935193
C00082,Customer 0082,SMB,South,1962571.901322753,20,24,98128.59506613764
C00083,Customer 0083,SMB,East,2911795.5286877616,22,30,132354.34221308006
C00084,Customer 0084,Mid-Market,North,3956094.420027303,29,48,136417.04896645874
C00085,Customer 0085,Enterprise,North,5253903.696091753,15,49,350260.2464061169
C00086,Customer 0086,Mid-Market,North,3296875.951036637,22,36,149857.9977743926
C00087,Customer 0087,Mid-Market,East,3931877.1202479596,24,51,163828.21334366497
C00088,Customer 0088,SMB,West,2299094.0653107213,22,30,104504.27569594188
C00089,Customer 0089,Mid-Market,North,2303020.577322711,23,41,100131.32944881351
C00090,Customer 0090,Mid-Market,West,4480405.563013326,28,41,160014.48439333308
C00091,Customer 0091,Enterprise,North,7428236.530820612,27,77,275119.8715118745
C00092,Customer 0092,Mid-Market,East,4185130.5132585526,25,44,167405.2205303421
C00093,Customer 0093,SMB,South,2458619.2825070876,19,30,129401.01486879408
C00094,Customer 0094,Enterprise,South,7348103.870833963,21,73,349909.7081349506
C00095,Customer 0095,SMB,South,3542445.3895822344,20,37,177122.2694791117
C00096,Customer 0096,SMB,West,3255671.012797318,22,32,147985.04603624172
C00097,Customer 0097,Enterprise,South,7492044.665045274,24,59,312168.5277102198
C00098,Customer 0098,Enterprise,North,5779882.296457832,23,64,251299.2302807753
C00099,Customer 0099,Mid-Market,North,3961690.938502643,20,40,198084.54692513213
C00100,Customer 0100,Mid-Market,Central,2910385.3030025866,21,39,138589.7763334565
C00101,Customer 0101,Enterprise,Central,5034127.232769344,22,55,228823.96512587927
C00102,Customer 0102,SMB,East,1389421.398775783,10,14,138942.1398775783
C00103,Customer 0103,Mid-Market,South,3671430.4637266356,17,35,215966.4978662727
C00104,Customer 0104,SMB,Central,2999100.375061757,23,30,130395.66848094595
C00105,Customer 0105,SMB,East,1430090.2287005715,13,18,110006.94066927473
C00106,Customer 0106,SMB,East,3706649.8760210467,31,47,119569.3508393886
C00107,Customer 0107,Mid-Market,South,4436150.328086255,19,44,233481.59621506606
C00108,Customer 0108,Mid-Market,South,4543059.9577032635,24,49,189294.16490430266
C00109,Customer 0109,Mid-Market,North,3506961.962552173,22,40,159407.36193418968
C00110,Customer 0110,Enterprise,Central,4360030.9605816025,17,50,256472.4094459766
C00111,Customer 0111,Mid-Market,South,4958878.912840327,31,68,159963.83589807508
C00112,Customer 0112,Enterprise,North,5284700.204411251,21,48,251652.39068625003
C00113,Customer 0113,Mid-Market,South,7587226.534025856,37,71,205060.17659529342
C00114,Customer 0114,Enterprise,West,1384980.644407342,9,26,153886.73826748243
C00115,Customer 0115,Mid-Market,North,3949809.0061236997,21,40,188086.1431487476
C00116,Customer 0116,Mid-Market,Central,2126527.063051465,17,32,125089.82723832146
C00117,Customer 0117,Mid-Market,East,1992354.5401881142,15,21,132823.63601254096
C00118,Customer 0118,SMB,East,2074899.0868663026,15,28,138326.60579108685
C00119,Customer 0119,Enterprise,South,6567600.35238791,15,51,437840.0234925273
C00120,Customer 0120,SMB,West,2940883.6504429653,26,33,113110.90963242174
C00121,Customer 0121,SMB,West,3872828.067309493,26,37,148954.92566574973
C00122,Customer 0122,Mid-Market,West,3795306.240235423,24,42,158137.7600098093
C00123,Customer 0123,Mid-Market,North,2262463.412255164,20,34,113123.17061275819
C00124,Customer 0124,Mid-Market,South,5645204.4635512065,22,43,256600.20288869122
C00125,Customer 0125,Enterprise,North,5694017.274921413,22,62,258818.9670418824
C00126,Customer 0126,Mid-Market,West,3079243.133247633,14,30,219945.93808911665
C00127,Customer 0127,Enterprise,South,3439038.4999913964,17,36,202296.3823524351
C00128,Customer 0128,SMB,North,2086771.3082650611,13,23,160520.86986654316
C00129,Customer 0129,SMB,North,3129424.3970864895,19,25,164706.5472150784
C00130,Customer 0130,SMB,West,2813502.048991044,20,27,140675.1024495522
C00131,Customer 0131,Mid-Market,North,3505413.8113159435,17,37,206200.81243034962
C00132,Customer 0132,Mid-Market,Central,4074849.86758065,25,44,162993.994703226
C00133,Customer 0133,SMB,West,4771234.4948903555,30,48,159041.14982967853
C00134,Customer 0134,Mid-Market,South,3613826.080328047,19,36,190201.37264884458
C00135,Customer 0135,Enterprise,West,4118966.6478826273,15,36,274597.7765255085
C00136,Customer 0136,Mid-Market,North,5649005.442765602,24,62,235375.22678190007
C00137,Customer 0137,Mid-Market,Central,3537353.7729392927,22,43,160788.80786087693
C00138,Customer 0138,Mid-Market,West,3984596.5240105498,28,47,142307.0187146625
C00139,Customer 0139,Enterprise,East,2902564.338580202,13,36,223274.17989078476
C00140,Customer 0140,Mid-Market,North,5915638.206570176,37,69,159882.11369108586
