region,category,revenue,target,gross_margin,units,orders,customers,attainment_pct,margin_pct,target_gap
Central,Components,60356325.10519063,62410705.965447314,14781800.093948282,2208,1136,395,96.70828773929578,24.490888184769638,-2054380.8602566868
Central,Digital,37335917.94886782,37489320.35401113,14180504.659486596,791,401,260,99.59081038627872,37.98086517895995,-153402.4051433131
Central,Engines,129794051.49038053,132819767.58804935,20970697.567546733,692,346,232,97.72193841879522,16.15690189708035,-3025716.0976688266
Central,Power Systems,82697043.05057815,86826540.48670359,13880876.057683501,726,351,242,95.24396870705931,16.7852144957515,-4129497.4361254424
Central,Powertrain,110768217.09767136,113510273.47954363,21101041.83886393,722,379,252,97.58430995026505,19.049725987968017,-2742056.3818722665
Central,Services,40687444.432844825,41617452.50278169,13821576.827471409,723,382,251,97.76534118739079,33.970127689597476,-930008.0699368641
East,Components,51488140.45368206,53841826.87343221,12554457.56746329,1738,900,302,95.62851679367596,24.383202533323352,-2353686.419750154
East,Digital,31019316.331334777,32775972.134152688,11800364.409246022,608,305,204,94.64041586431705,38.041987396497355,-1756655.802817911
East,Engines,116537877.88906384,125140234.47580385,18455828.82702603,576,314,195,93.12582669932323,15.836764115950977,-8602356.586740017
East,Power Systems,66544192.9507034,66885092.86655329,11166386.480858866,539,273,183,99.49032003808375,16.78040710348841,-340899.9158498943
East,Powertrain,97714133.83457865,98817636.88566005,18322754.095145617,585,286,195,98.88329342224785,18.751385675857716,-1103503.051081404
East,Services,28425964.81270731,29981384.889696304,9641340.017332314,467,229,162,94.8120472662904,33.91737125144941,-1555420.076988995
North,Components,88282500.8752954,93078275.58370808,21719481.14616727,2686,1375,468,94.84758964609343,24.602249518109378,-4795774.708412677
North,Digital,51334779.55745144,52900107.75349547,19399687.80810391,901,442,294,97.04097352062465,37.79053494598668,-1565328.1960440278
North,Engines,210321997.39681765,216491060.67749512,33706116.815667816,929,471,305,97.15043047903606,16.02595887869683,-6169063.280677468
North,Power Systems,122877603.50710297,128814838.4414307,20899890.572980233,887,452,294,95.39087654328948,17.008706205579692,-5937234.9343277365
North,Powertrain,161952323.26491487,165292140.03715196,31010309.13291235,880,458,301,97.9794461058545,19.14780134532987,-3339816.7722370923
North,Services,58501930.74774139,60061061.23134335,19884501.94021074,857,420,274,97.40409101731237,33.98947981042221,-1559130.483601965
South,Components,95416610.16089639,97536690.59600541,23201791.48995011,2755,1368,483,97.82637649262641,24.316302424521325,-2120080.4351090193
South,Digital,51884573.60244529,53485373.147109024,19728109.073845737,869,451,298,97.00703304385516,38.02307257068016,-1600799.5446637347
South,Engines,232378896.76326606,241240321.718432,37382722.755785905,974,494,321,96.32672312321456,16.086969719057244,-8861424.955165952
South,Power Systems,135755799.66861162,139375419.71118024,23092999.07479399,924,467,311,97.4029710187999,17.010690615918765,-3619620.042568624
South,Powertrain,183623278.80921412,186018687.0260114,34803773.12440944,928,463,325,98.7122754949548,18.95390026259732,-2395408.216797292
South,Services,67400427.10153924,69480424.86027145,22904513.304863423,931,486,319,97.00635428911785,33.98274208315862,-2079997.7587322146
West,Components,54224677.36064483,54126093.187305056,13250664.932599258,2290,1169,405,100.18213798102632,24.436595250664084,98584.1733397767
West,Digital,36346892.074650854,37455339.82139537,13777620.66455133,683,353,240,97.04061489755503,37.90591128466843,-1108447.7467445135
West,Engines,165028998.94466537,166151090.8318562,26638979.384599388,779,396,256,99.32465572054151,16.141999015295188,-1122091.8871908188
West,Power Systems,102122979.00436944,107716931.26345927,17326349.871343777,777,389,252,94.80680317061032,16.966161818098207,-5593952.259089828
West,Powertrain,134758285.40620467,140063055.93686908,25466502.184337337,782,391,264,96.21258404282179,18.89791199670813,-5304770.530664414
West,Services,48494335.74431171,51067806.05610842,16511170.982048798,758,388,264,94.96067971087454,34.04762789020267,-2573470.31179671
