region,product_name,year,revenue,units,orders,customers,gross_margin,margin_pct,avg_order_value,revenue_yoy_pct
East,Aftermarket Parts,2023,12182998.766421407,524,286,183,3418288.666002392,28.05785941162389,42597.897784690234,
East,Aftermarket Parts,2024,14133331.74834915,607,324,206,3972379.690130629,28.10646322368131,43621.39428502824,16.00864466393299
East,Aftermarket Parts,2025,13556941.19537174,581,304,195,3785653.0325691747,27.92409421869864,44595.201300564935,-4.078235502005656
East,Cooling Systems,2023,16554415.897845859,551,285,187,3619103.4083253266,21.861861092883757,58085.669817003014,
East,Cooling Systems,2024,15584518.367196385,524,288,203,3409319.7688964917,21.876324237730163,54112.91099720967,-5.858844773711902
East,Cooling Systems,2025,16804346.84570618,562,287,191,3773697.539923877,22.456674898305412,58551.73116970794,7.827181115057069
East,Engine Systems,2023,86886827.1485781,524,258,184,16809343.181224953,19.34625044194635,336770.64786270587,
East,Engine Systems,2024,85631710.72686648,518,258,188,16344257.184659041,19.08668768371472,331905.8555304902,-1.444541667478949
East,Engine Systems,2025,97714133.83457865,585,286,195,18322754.095145617,18.751385675857716,341657.81061041483,14.109753273820047
East,Filtration,2023,20481767.291489355,581,280,178,4928986.354782706,24.065239511000662,73149.16889817627,
East,Filtration,2024,18951502.80035863,541,270,190,4494014.367401531,23.713234853947775,70190.75111243938,-7.471349856448106
East,Filtration,2025,21126852.412604142,595,309,201,4995106.994970239,23.64340365245412,68371.69065567684,11.47850719365826
East,Industrial Engines,2023,103913309.63858797,516,261,185,16739772.294778105,16.109363038285743,398135.2859716014,
East,Industrial Engines,2024,120085805.47180603,599,299,185,19332236.165975716,16.098685510765527,401624.7674642342,15.56344985013589
East,Industrial Engines,2025,116537877.88906384,576,314,195,18455828.82702603,15.836764115950977,371139.7385002033,-2.9544937212210187
East,Power Generation,2023,64804910.91124993,524,278,192,11068230.024453534,17.079307522868802,233111.19032823716,
East,Power Generation,2024,75776191.47728701,613,300,191,12721459.47682686,16.788201186701183,252587.30492429005,16.92970549880426
East,Power Generation,2025,66544192.9507034,539,273,183,11166386.480858866,16.78040710348841,243751.62253004906,-12.1832442969251
East,Service Contracts,2023,34523174.276093125,567,288,190,11676417.51533364,33.82196961946056,119872.13290310113,
East,Service Contracts,2024,37993529.29818688,628,313,199,12787616.723211812,33.65735418484025,121385.07762999005,10.05224778677707
East,Service Contracts,2025,28425964.81270731,467,229,162,9641340.017332314,33.91737125144941,124130.85071051227,-25.182089324710766
East,Telematics,2023,27612855.886434212,548,272,183,10504492.162068952,38.04203449752423,101517.8525236552,
East,Telematics,2024,27318298.314751886,535,304,194,10356323.313844737,37.909840483191154,89862.8234037891,-1.0667406982232452
East,Telematics,2025,31019316.331334777,608,305,204,11800364.409246022,38.041987396497355,101702.6764961796,13.54776192111622
West,Aftermarket Parts,2023,18061069.10819212,729,375,264,5036618.163262034,27.886600361755608,48162.85095517898,
West,Aftermarket Parts,2024,19906461.68869071,813,395,270,5540638.113497739,27.83336486486443,50396.10554098914,10.217515748619554
West,Aftermarket Parts,2025,14077772.074952018,752,390,257,3960337.9738139734,28.131851778311106,36096.85147423594,-29.28038998035546
West,Cooling Systems,2023,24318669.762268312,770,391,258,5346184.78082494,21.983870142107133,62196.086348512305,
West,Cooling Systems,2024,22666405.8920056,716,368,262,5058999.0408358965,22.319370194549442,61593.494271754345,-6.794219776059817
West,Cooling Systems,2025,18108676.991272885,753,374,245,4009515.6194244986,22.14140558891632,48418.92243655852,-20.107858839412284
West,Engine Systems,2023,131669320.50764914,752,380,252,25118917.959914252,19.07727469320008,346498.2118622346,
West,Engine Systems,2024,141446461.70073375,807,398,255,26827008.685052063,18.966192835428767,355393.11985108984,7.425527188405767
West,Engine Systems,2025,134758285.40620467,782,391,264,25466502.184337337,18.89791199670813,344650.34630742884,-4.7284154118182435
West,Filtration,2023,29313265.122067228,792,395,263,7103203.801752085,24.23204570412985,74210.79777738539,
West,Filtration,2024,25169105.745619692,683,349,239,6080417.042039831,24.158256171250887,72117.78150607362,-14.137488127611498
West,Filtration,2025,22038228.294419933,785,405,267,5280811.339360786,23.962050255636402,54415.378504740576,-12.439367067082397
West,Industrial Engines,2023,182525643.8006729,864,407,271,28614676.786939353,15.677072104009673,448465.9552842086,
West,Industrial Engines,2024,172275254.98554516,820,400,272,27095894.359159004,15.728256714194094,430688.1374638629,-5.615862298407592
West,Industrial Engines,2025,165028998.94466537,779,396,256,26638979.384599388,16.141999015295188,416739.89632491255,-4.20620828074687
West,Power Generation,2023,110111501.60202189,848,448,278,18538526.78842403,16.836140202163605,245784.60179022743,
West,Power Generation,2024,91743865.30379368,703,360,245,15647467.464818614,17.05560084372375,254844.0702883158,-16.68094252734351
West,Power Generation,2025,102122979.00436944,777,389,252,17326349.871343777,16.966161818098207,262526.93831457436,11.31314193729156
West,Service Contracts,2023,51303209.31211453,801,393,275,17505048.67188511,34.12076730987576,130542.51733362475,
West,Service Contracts,2024,50386538.01811257,796,403,265,17228463.907735888,34.192593072266106,125028.6303178972,-1.7867718341462502
West,Service Contracts,2025,48494335.74431171,758,388,264,16511170.982048798,34.04762789020267,124985.40140286525,-3.7553726614848237
West,Telematics,2023,43724680.30223816,822,391,268,16657705.591169586,38.09680362675383,111827.82685994414,
West,Telematics,2024,44795621.61277713,837,416,269,17071915.419903044,38.11067868970836,107681.78272302194,2.449283340978825
West,Telematics,2025,36346892.074650854,683,353,240,13777620.66455133,37.90591128466843,102965.6999281894,-18.860614573359168
