year,region,revenue,target,gross_margin,units,orders,customers,attainment_pct,margin_pct,revenue_yoy_pct
2023,Central,511626908.14571303,518788190.46084946,110070397.55911471,5843,2957,413,98.61961346715026,21.51380152346606,
2023,East,366960259.8167,377221993.4691014,78764633.60696961,4335,2208,328,97.27965658682041,21.464077239947798,
2023,North,668202220.883538,682795384.8181387,140988199.7350906,6959,3512,498,97.86273248778804,21.099630520333704,
2023,South,744748523.4958786,753414289.0422181,158993055.89005628,7463,3744,521,98.84980074410907,21.34855603925694,
2023,West,591027359.5172243,606055613.5819154,123920882.5441714,6378,3180,438,97.52031765271987,20.967029791208837,
2024,Central,535754329.2865695,551234183.5843916,112560722.93341942,5889,2936,413,97.19178259280574,21.009764509660517,4.715823338592839
2024,East,395474888.20480245,404123761.9853226,83417606.69094682,4565,2356,329,97.85984527659765,21.09302238369881,7.770494931071226
2024,North,640180063.681415,661445910.7184988,136937837.0231367,6870,3547,498,96.78494542146558,21.390518823042214,-4.1936641822396865
2024,South,790409595.8048131,805513880.9934945,166157740.01485148,7584,3753,521,98.12488828000676,21.021726064151064,6.131072552463701
2024,West,568389714.9472783,584734156.6685632,120550804.03304207,6175,3089,439,97.20480811067974,21.209181106351284,-3.8302193977005405
2025,Central,461638999.1255333,474674060.3765367,98736497.04500045,5862,2995,413,97.25389223066806,21.38824866010748,-13.833827579094127
2025,East,391729626.27207005,407442148.1252984,81941131.39707214,4513,2307,329,96.1436189344858,20.917777441770802,-0.9470290135824899
2025,North,693271135.3493237,716637483.7246246,146619987.41604233,7140,3618,498,96.73944652547931,21.149010818424426,8.293146675421848
2025,South,766459586.1059726,787136917.0590096,161113908.8236486,7381,3729,521,97.37309602625501,21.02053542603518,-3.030075776655272
2025,West,540976168.5348469,556580317.0969934,112971288.01947989,6069,3086,439,97.19642465196496,20.88285854170725,-4.8230194339414005
