customer_id,customer_name,segment,region,city,industry
C00001,Customer 0001,SMB,East,Bhubaneswar,Automotive
C00002,Customer 0002,Mid-Market,South,Bengaluru,Energy
C00003,Customer 0003,Mid-Market,Central,Nagpur,Logistics
C00004,Customer 0004,SMB,East,Guwahati,Logistics
C00005,Customer 0005,SMB,North,Delhi,Logistics
C00006,Customer 0006,Enterprise,Central,Bhopal,Manufacturing
C00007,Customer 0007,Enterprise,East,Kolkata,Construction
C00008,Customer 0008,Enterprise,East,Kolkata,Logistics
C00009,Customer 0009,Mid-Market,North,Delhi,Construction
C00010,Customer 0010,Enterprise,South,Bengaluru,Automotive
C00011,Customer 0011,SMB,South,Bengaluru,Logistics
C00012,Customer 0012,SMB,Central,Nagpur,Construction
C00013,Customer 0013,Mid-Market,West,Pune,Manufacturing
C00014,Customer 0014,Mid-Market,Central,Bhopal,Energy
C00015,Customer 0015,Mid-Market,South,Hyderabad,Construction
C00016,Customer 0016,Enterprise,South,Hyderabad,Construction
C00017,Customer 0017,SMB,West,Pune,Automotive
C00018,Customer 0018,Enterprise,North,Delhi,Healthcare
C00019,Customer 0019,Enterprise,Central,Bhopal,Manufacturing
C00020,Customer 0020,Mid-Market,West,Mumbai,Logistics
C00021,Customer 0021,Enterprise,East,Guwahati,Construction
C00022,Customer 0022,Mid-Market,South,Chennai,Manufacturing
C00023,Customer 0023,SMB,Central,Bhopal,Logistics
C00024,Customer 0024,SMB,Central,Nagpur,Logistics
C00025,Customer 0025,Mid-Market,East,Kolkata,Manufacturing
C00026,Customer 0026,SMB,North,Lucknow,Construction
C00027,Customer 0027,Mid-Market,West,Mumbai,Healthcare
C00028,Customer 0028,SMB,North,Chandigarh,Energy
C00029,Customer 0029,Mid-Market,North,Lucknow,Construction
C00030,Customer 0030,Mid-Market,East,Guwahati,Manufacturing
C00031,Customer 0031,SMB,East,Guwahati,Energy
C00032,Customer 0032,Mid-Market,Central,Indore,Automotive
C00033,Customer 0033,Enterprise,South,Chennai,Logistics
C00034,Customer 0034,Mid-Market,South,Bengaluru,Energy
C00035,Customer 0035,Mid-Market,West,Pune,Construction
C00036,Customer 0036,Mid-Market,North,Lucknow,Energy
C00037,Customer 0037,Mid-Market,North,Chandigarh,Construction
C00038,Customer 0038,SMB,West,Ahmedabad,Manufacturing
C00039,Customer 0039,Mid-Market,South,Hyderabad,Logistics
C00040,Customer 0040,Mid-Market,East,Kolkata,Logistics
C00041,Customer 0041,Mid-Market,South,Bengaluru,Logistics
C00042,Customer 0042,SMB,Central,Nagpur,Construction
C00043,Customer 0043,Enterprise,East,Guwahati,Energy
C00044,Customer 0044,Enterprise,South,Hyderabad,Energy
C00045,Customer 0045,Mid-Market,Central,Bhopal,Energy
C00046,Customer 0046,Mid-Market,East,Bhubaneswar,Construction
C00047,Customer 0047,SMB,South,Bengaluru,Construction
C00048,Customer 0048,Mid-Market,South,Bengaluru,Healthcare
C00049,Customer 0049,SMB,East,Bhubaneswar,Manufacturing
C00050,Customer 0050,Mid-Market,North,Lucknow,Energy
C00051,Customer 0051,Enterprise,North,Lucknow,Automotive
C00052,Customer 0052,Enterprise,North,Delhi,Automotive
C00053,Customer 0053,Enterprise,East,Bhubaneswar,Automotive
C00054,Customer 0054,Mid-Market,East,Guwahati,Energy
C00055,Customer 0055,Mid-Market,East,Bhubaneswar,Manufacturing
C00056,Customer 0056,Mid-Market,East,Kolkata,Energy
C00057,Customer 0057,Mid-Market,South,Hyderabad,Manufacturing
C00058,Customer 0058,Mid-Market,West,Mumbai,Automotive
C00059,Customer 0059,Mid-Market,North,Delhi,Automotive
C00060,Customer 0060,Mid-Market,North,Chandigarh,Healthcare
C00061,Customer 0061,Mid-Market,East,Kolkata,Healthcare
C00062,Customer 0062,Mid-Market,West,Pune,Construction
C00063,Customer 0063,Mid-Market,West,Pune,Construction
C00064,Customer 0064,Mid-Market,East,Bhubaneswar,Automotive
C00065,Customer 0065,Mid-Market,West,Pune,Healthcare
C00066,Customer 0066,Mid-Market,West,Mumbai,Logistics
C00067,Customer 0067,Mid-Market,West,Ahmedabad,Automotive
C00068,Customer 0068,Mid-Market,South,Chennai,Construction
C00069,Customer 0069,Enterprise,North,Lucknow,Construction
C00070,Customer 0070,Mid-Market,South,Chennai,Automotive
C00071,Customer 0071,SMB,North,Chandigarh,Construction
C00072,Customer 0072,Enterprise,South,Chennai,Healthcare
C00073,Customer 0073,SMB,Central,Nagpur,Construction
C00074,Customer 0074,Enterprise,South,Bengaluru,Energy
C00075,Customer 0075,Mid-Market,North,Lucknow,Energy
C00076,Customer 0076,Mid-Market,South,Bengaluru,Logistics
C00077,Customer 0077,Enterprise,South,Chennai,Construction
C00078,Customer 0078,SMB,East,Bhubaneswar,Construction
C00079,Customer 0079,Mid-Market,West,Ahmedabad,Healthcare
C00080,Customer 0080,SMB,East,Bhubaneswar,Manufacturing
C00081,Customer 0081,Mid-Market,East,Bhubaneswar,Manufacturing
C00082,Customer 0082,SMB,South,Bengaluru,Automotive
C00083,Customer 0083,SMB,East,Guwahati,Logistics
C00084,Customer 0084,Mid-Market,North,Delhi,Logistics
C00085,Customer 0085,Enterprise,North,Chandigarh,Manufacturing
C00086,Customer 0086,Mid-Market,North,Chandigarh,Logistics
C00087,Customer 0087,Mid-Market,East,Bhubaneswar,Construction
C00088,Customer 0088,SMB,West,Mumbai,Logistics
C00089,Customer 0089,Mid-Market,North,Chandigarh,Manufacturing
C00090,Customer 0090,Mid-Market,West,Pune,Logistics
C00091,Customer 0091,Enterprise,North,Delhi,Logistics
C00092,Customer 0092,Mid-Market,East,Kolkata,Energy
C00093,Customer 0093,SMB,South,Chennai,Manufacturing
C00094,Customer 0094,Enterprise,South,Bengaluru,Automotive
C00095,Customer 0095,SMB,South,Bengaluru,Healthcare
C00096,Customer 0096,SMB,West,Pune,Logistics
C00097,Customer 0097,Enterprise,South,Bengaluru,Healthcare
C00098,Customer 0098,Enterprise,North,Chandigarh,Healthcare
C00099,Customer 0099,Mid-Market,North,Delhi,Manufacturing
C00100,Customer 0100,Mid-Market,Central,Nagpur,Construction
C00101,Customer 0101,Enterprise,Central,Bhopal,Automotive
C00102,Customer 0102,SMB,East,Bhubaneswar,Energy
C00103,Customer 0103,Mid-Market,South,Chennai,Automotive
C00104,Customer 0104,SMB,Central,Bhopal,Manufacturing
C00105,Customer 0105,SMB,East,Kolkata,Energy
