order_id,order_date,customer_id,customer_name,segment,industry,region,city,salesperson,product_name,category,units,unit_price,discount_pct,gross_sales,net_sales,cost,gross_margin,order_status,allocated_target
O0022872,2023-01-01,C01496,Customer 1496,Enterprise,Automotive,West,Ahmedabad,SP018,Industrial Engines,Engines,3,209716.14683252934,0.036704230597480875,629148.440497588,606056.0310575191,531641.4817108321,74414.54934668704,Returned,603876.6194760998
O0018265,2023-01-01,C01884,Customer 1884,Mid-Market,Automotive,East,Kolkata,SP017,Cooling Systems,Components,1,31153.512888095243,0.057300926164507965,31153.512888095243,29368.38774632945,22037.46210679215,7330.925639537298,Completed,33190.50901085262
O0040286,2023-01-01,C01135,Customer 1135,Mid-Market,Healthcare,Central,Indore,SP026,Cooling Systems,Components,1,33569.46904277329,0.11458818397812423,33569.46904277329,29722.80454805204,23711.98806472894,6010.816483323102,Completed,29734.74660002524
O0031190,2023-01-01,C00320,Customer 0320,SMB,Healthcare,Central,Indore,SP022,Cooling Systems,Components,1,31543.434025679053,0.0831169675121402,31543.434025679053,28921.63944454535,22782.461472448704,6139.177972096648,Completed,28933.25960376816
O0049962,2023-01-01,C01222,Customer 1222,Mid-Market,Manufacturing,North,Delhi,SP046,Service Contracts,Services,1,74485.09963722246,0.03706233058134984,74485.09963722246,71724.50825108294,44820.62476350001,26903.883487582927,Completed,68401.12561481506
O0014487,2023-01-01,C00195,Customer 0195,Enterprise,Manufacturing,North,Chandigarh,SP047,Industrial Engines,Engines,3,229406.21492352439,0.049472010212717146,688218.6447705731,654171.084947901,553539.226376368,100631.858571533,Returned,646140.0038200791
O0007190,2023-01-01,C01141,Customer 1141,Enterprise,Construction,South,Bengaluru,SP025,Industrial Engines,Engines,4,247952.176467351,0.08009796348094418,991808.705869404,912366.848366594,777423.6711004656,134943.17726612836,Completed,937557.7010466545
O0025456,2023-01-01,C02124,Customer 2124,Enterprise,Construction,North,Lucknow,SP042,Industrial Engines,Engines,1,214800.29828711302,0.15195275527970037,214800.29828711302,182160.80112748468,148944.51103536363,33216.29009212105,Completed,179924.46233809847
O0043514,2023-01-01,C00336,Customer 0336,Enterprise,Automotive,West,Pune,SP023,Filtration,Components,3,36875.13300672048,0.16610982090376075,110625.39902016145,92249.43380151536,73112.13900704951,19137.29479446585,Completed,100949.36477284112
O0017238,2023-01-01,C01679,Customer 1679,SMB,Logistics,Central,Nagpur,SP006,Cooling Systems,Components,1,28261.79379999117,0.08524342798596271,28261.79379999117,25852.661615447494,20286.004539109574,5566.65707633792,Completed,25863.048718325288
O0026989,2023-01-01,C00600,Customer 0600,Enterprise,Construction,West,Pune,SP007,Industrial Engines,Engines,2,231825.36218912524,0.06055208822220989,463650.7243782505,435575.70481140714,368686.45843578194,66889.2463756252,Completed,434009.35007355484
O0008797,2023-01-01,C01613,Customer 1613,Mid-Market,Manufacturing,East,Bhubaneswar,SP058,Industrial Engines,Engines,1,201077.01162247304,0.08446329561336083,201077.01162247304,184093.38454875292,145869.41644482064,38223.968103932275,Completed,185903.60509029936
O0024910,2023-01-01,C00655,Customer 0655,Enterprise,Healthcare,Central,Indore,SP057,Telematics,Digital,5,49977.589703489844,0.07975626603689619,249887.94851744923,229957.8188160773,140463.11898216535,89494.69983391196,Completed,216679.67023651756
O0030354,2023-01-01,C01985,Customer 1985,Enterprise,Energy,West,Mumbai,SP013,Power Generation,Power Systems,1,141044.7721916088,0.10019535331059225,141044.7721916088,126912.74140925855,106426.5782013802,20486.16320787836,Completed,127591.78174903426
O0014784,2023-01-01,C00701,Customer 0701,SMB,Healthcare,South,Hyderabad,SP007,Power Generation,Power Systems,1,146230.55466580956,0.11004981353748669,146230.55466580956,130137.90939135397,110187.30325461358,19950.60613674039,Completed,124731.53346579132
O0013307,2023-01-01,C00790,Customer 0790,Enterprise,Manufacturing,West,Mumbai,SP060,Engine Systems,Powertrain,2,169536.19100444924,0.13023497581584012,339072.3820088985,294913.29853815027,232004.27469352313,62909.02384462714,Completed,328021.91520902136
O0006534,2023-01-01,C01784,Customer 1784,Enterprise,Logistics,North,Lucknow,SP060,Telematics,Digital,6,60904.020525549575,0.09571290116750383,365424.12315329746,330448.32016970415,197065.61321080843,133382.70695889572,Completed,321355.47189294663
O0024768,2023-01-01,C00541,Customer 0541,Mid-Market,Healthcare,Central,Bhopal,SP001,Power Generation,Power Systems,1,123608.05773048225,0.07890410081147957,123608.05773048225,113854.8750822051,94066.26084137426,19788.614240830837,Completed,108325.155039793
O0033138,2023-01-01,C00260,Customer 0260,Mid-Market,Energy,West,Pune,SP016,Filtration,Components,3,34538.07016141837,0.10560870865295592,103614.2104842551,92671.64751691736,70204.55715016923,22467.090366748133,Cancelled,101411.39694595906
O0028867,2023-01-01,C01261,Customer 1261,SMB,Manufacturing,North,Delhi,SP025,Telematics,Digital,2,50946.01506271405,0.054314118090780655,101892.0301254281,96357.85436868621,56628.00806867081,39729.8463000154,Returned,93706.40391011405
O0033876,2023-01-01,C01194,Customer 1194,Enterprise,Manufacturing,Central,Nagpur,SP006,Power Generation,Power Systems,2,126109.1893161236,0.07903115193368865,252218.3786322472,232285.26963009348,186993.39081709678,45291.8788129967,Completed,221003.6050539986
O0036097,2023-01-01,C00524,Customer 0524,Enterprise,Automotive,West,Ahmedabad,SP012,Filtration,Components,1,30734.940328345296,0.0892959946292814,30734.940328345296,27990.43326185409,21525.71444055599,6464.718821298102,Completed,30630.17669658974
O0032276,2023-01-01,C00042,Customer 0042,SMB,Construction,Central,Nagpur,SP016,Telematics,Digital,3,51508.252050971736,0.0,154524.75615291522,154524.75615291522,95053.04063311793,59471.71551979729,Completed,145602.23861477617
O0045979,2023-01-01,C00058,Customer 0058,Mid-Market,Automotive,West,Mumbai,SP032,Service Contracts,Services,4,64627.09661034012,0.100385519523706,258508.3864413605,232557.88776720956,162006.86243356857,70551.02533364098,Completed,260764.0281309016
O0005863,2023-01-01,C00006,Customer 0006,Enterprise,Manufacturing,Central,Bhopal,SP031,Cooling Systems,Components,1,31072.437785095437,0.051316065361506145,31072.437785095437,29477.922536774146,23802.48285320779,5675.439683566354,Completed,29489.766199858725
O0037730,2023-01-01,C01934,Customer 1934,Mid-Market,Energy,East,Kolkata,SP039,Filtration,Components,4,36439.85602377887,0.06219879972480486,145759.42409511548,136693.36286782048,111045.21354635473,25648.149321465753,Completed,154483.1923078645
O0016347,2023-01-01,C01776,Customer 1776,Mid-Market,Manufacturing,West,Pune,SP001,Industrial Engines,Engines,1,218948.20115780027,0.09785364635844711,218948.20115780027,197523.32131088676,171400.9960328308,26122.32527805597,Completed,196813.01633576062
O0037269,2023-01-01,C01561,Customer 1561,Mid-Market,Construction,Central,Indore,SP008,Telematics,Digital,1,56464.84928271858,0.11701919071274894,56464.84928271858,49857.37831593751,31133.91459647698,18723.463719460527,Completed,46978.53001030184
O0036583,2023-01-01,C02035,Customer 2035,Mid-Market,Automotive,North,Chandigarh,SP008,Filtration,Components,1,36631.969099749804,0.07882767850378561,36631.969099749804,33744.356016594116,24850.183646765698,8894.172369828419,Completed,33378.23478082148
O0037790,2023-01-01,C00593,Customer 0593,Mid-Market,Logistics,South,Chennai,SP040,Engine Systems,Powertrain,2,200450.3955052843,0.0849991623658088,400900.7910105686,366824.5595828801,321350.55544560566,45474.00413727446,Completed,372374.8148556505
O0037861,2023-01-01,C02076,Customer 2076,Mid-Market,Logistics,West,Mumbai,SP035,Aftermarket Parts,Components,1,23488.501626346257,0.13852736905806826,23488.501626346257,20234.70129293235,13941.778306473263,6292.922986459087,Completed,22143.01115695469
O0011782,2023-01-01,C01385,Customer 1385,SMB,Automotive,Central,Nagpur,SP001,Telematics,Digital,1,49089.61707179066,0.1032351485576539,49089.61707179066,44021.84316074601,27514.953112464882,16506.890048281126,Completed,41479.94840263833
O0018612,2023-01-01,C02005,Customer 2005,Enterprise,Energy,North,Lucknow,SP060,Filtration,Components,2,40184.66706301364,0.13126224789635485,80369.33412602729,69819.87466671172,52230.464471439096,17589.410195272627,Completed,69062.33942787368
O0040941,2023-01-01,C01206,Customer 1206,Mid-Market,Automotive,North,Delhi,SP016,Service Contracts,Services,2,75917.6235926972,0.006746453748530279,151835.2471853944,150810.89771286148,103432.70737918328,47378.1903336782,Completed,143823.0168470303
